district,local_I,z_local_I,p_perm,quadrant,significant
Korle Klottey Municipal,0.4202123216994135,-0.2921544942487164,0.187,HH,0
Kpone Katamanso Municipal,0.3859577817031685,-0.3160396932262171,0.162,HH,0
Krowor Municipal,0.4140690857822176,-0.2964380844608179,0.346,HH,0
La Dade-Kotopon Municipal,0.4728470078414567,-0.2554530832311166,0.177,HH,0
La Nkwantanang Madina Municipal,0.4960083066038983,-0.239303042110176,0.198,HH,0
Ledzokuku Municipal,0.4599424312046983,-0.2644512592604303,0.248,HH,0
Ningo-Prampram,0.0839602499973835,-0.5266182365754335,0.767,HH,0
Okaikoi North Municipal,0.4849139110704485,-0.2470390048433084,0.153,HH,0
Shai-Osudoku,0.0796780164601191,-0.5296041765447602,0.725,HH,0
Tema Metropolitan Area (TMA)-Tema Central & Tema East,0.3633743731816358,-0.3317867797784266,0.316,HH,0
Tema West Municipal,0.4631128338479616,-0.2622405830119261,0.161,HH,0
Weija Gbawe Municipal,0.2667512714604856,-0.3991606814768862,0.324,HH,0
Bunkpurugu Nakpanduri,0.8858868220483528,0.0325536495711073,0.051,LL,0
Chereponi,2.652119222187862,1.2641221459650254,0.003,LL,1
East Mamprusi Municipal,1.0119102805226927,0.1204279979588647,0.024,LL,1
Mamprugu Moagduri,1.5970228564809767,0.5284185972351535,0.01,LL,1
West Mamprusi Municipal,0.9341235255400776,0.0661884104245547,0.026,LL,1
Yunyoo Nasuan,2.2478350573739942,0.9822206017875106,0.011,LL,1
Gushegu Municipal,4.569292805585475,2.6009397625168678,0.001,LL,1
Karaga,5.134420147156205,2.994994944764901,0.001,LL,1
Kpandai,6.411705832447159,3.8856279162668415,0.001,LL,1
Kumbungu,4.416888070995416,2.494670129026072,0.001,LL,1
Mion,5.990451271214328,3.59189315829523,0.001,LL,1
Nanton,4.822054700486307,2.777187003154117,0.001,LL,1
Nanumba North Municipal,5.733359227127203,3.4126265667944686,0.001,LL,1
Nanumba South,6.270444444971196,3.7871283787436094,0.001,LL,1
Saboba,4.642810836416199,2.65220282998233,0.001,LL,1
Sagnarigu Municipal,3.108570357391596,1.5823989696807248,0.002,LL,1
Savelugu Municipal,4.200396704725186,2.34371380729931,0.001,LL,1
Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,3.84505474893054,2.095938962851252,0.001,LL,1
Tatale Sanguli,5.7245137246998645,3.406458724938875,0.001,LL,1
Tolon,5.710755590440074,3.3968653754327867,0.001,LL,1
Yendi Municipal,4.75868289244326,2.732998751178231,0.001,LL,1
Zabzugu,5.667239113001009,3.366521960441782,0.001,LL,1
Biakoye,1.3226842586059178,0.3371262313714567,0.007,LL,1
Guan,-0.0,-0.5851625135561795,1.0,LH,0
Jasikan Municipal,1.3116529604568683,0.3294342655386339,0.043,LL,1
Kadjebi,2.9318501987332986,1.4591745400620053,0.001,LL,1
Krachi East Municipal,3.714745684003398,2.005076322608586,0.001,LL,1
Krachi Nchumuru,4.924682650028112,2.848747999031674,0.001,LL,1
Krachi West Municipal,3.1806343986885497,1.6326481911179205,0.002,LL,1
Nkwanta North (Kpassa),6.711073340600424,4.094372581949789,0.001,LL,1
Nkwanta South Municipal,5.087151493757928,2.962035191344184,0.001,LL,1
Bole,1.939131332921435,0.7669659265107969,0.005,LL,1
Central Gonja,4.535362806475027,2.577280861239889,0.001,LL,1
East Gonja Municipal,2.443621726952793,1.1187398357502034,0.003,LL,1
North East Gonja,4.880384966433948,2.817859860203801,0.001,LL,1
North Gonja,4.974572063860086,2.88353517107889,0.001,LL,1
Sawla Tuna Kalba,3.366801411991156,1.7624597768600494,0.002,LL,1
West Gonja,3.725550513852626,2.0126103753471467,0.002,LL,1
Bawku Municipal,0.4970675499215292,-0.2385644469514037,0.194,HH,0
Bawku West,0.0489887004449877,-0.5510033960229714,0.802,HH,0
Binduri,0.284920957462811,-0.386491220273442,0.441,HH,0
Bolgatanga East,0.7330343882730561,-0.0740281581343361,0.112,HH,0
Bolgatanga Municipal,0.948556356542136,0.0762522162830072,0.041,HH,1
Bongo,0.4063756942434939,-0.3018025759336089,0.263,HH,0
Builsa North Municipal,0.5185875764096116,-0.2235588414250915,0.187,HH,0
Builsa South,0.0021768143580952,-0.583644652154862,0.978,HH,0
Garu,0.0386340600070306,-0.558223538148021,0.799,HH,0
Kasena Nankana Municipal,0.4252698430106343,-0.288627957244725,0.154,HH,0
Kasena Nankana West,0.4100362864210683,-0.2992500975600435,0.164,HH,0
Nabdam,0.1666649197905143,-0.4689494576458678,0.538,HH,0
Pusiga,0.4421761788026858,-0.2768394120061127,0.341,HH,0
Talensi,0.1502671335715087,-0.4803833985679879,0.507,HH,0
Tempane,0.2704872982438675,-0.3965556036356385,0.447,HH,0
Daffiama Bussie Issa,-0.0217017716460364,-0.6002948473719798,0.876,LH,0
Jirapa Municipal,-0.0019336962622155,-0.5865108521994697,0.99,LH,0
Lambussie Karni,0.0109462972051151,-0.5775298176612793,0.932,HH,0
Lawra Municipal,0.0329824375653718,-0.5621643333412866,0.87,HH,0
Nadowli Kaleo,0.0045096283046865,-0.5820180144800332,0.977,HH,0
Nandom,0.0555101874324546,-0.5464560567697833,0.872,HH,0
Sissala East Municipal,-0.0447248090061143,-0.6163484808019477,0.769,HL,0
Sissala West,0.0081374532502953,-0.5794883842269075,0.952,HH,0
Wa East,0.3274675289533484,-0.3568241067762722,0.234,LL,0
Wa Municipal,-0.1529352922399404,-0.6918020972794939,0.549,HL,0
Wa West,0.2323132835977173,-0.4231737960181161,0.424,LL,0
Adaklu,0.1955723716494385,-0.4487927064631453,0.525,HH,0
Afadzato South,0.3088176017695005,-0.3698284332611976,0.308,HH,0
Agortime-Ziope,0.1616328411996356,-0.4724582538062231,0.492,HH,0
Akatsi North,-0.0368999993981126,-0.6108923533961013,0.872,LH,0
Akatsi South Municipal,0.0881074508006675,-0.5237264529929669,0.656,HH,0
Anloga,0.042189624230751,-0.5557442942588853,0.864,HH,0
Central Tongu,0.0592259304092942,-0.5438651225356411,0.747,HH,0
Ho Municipal,0.4622657239009541,-0.2628312606167723,0.252,HH,0
Ho West,0.2382497341923395,-0.4190343942428128,0.345,HH,0
Hohoe Municipal,-0.4424068988132759,-0.8936464928573893,0.197,HL,0
Keta Municipal,0.1233985289126386,-0.4991184908680237,0.588,HH,0
Ketu North Municipal,0.060799898795134,-0.5427676169762554,0.777,HH,0
Ketu South Municipal,0.0724683813844268,-0.5346313515807395,0.802,HH,0
Kpando Municipal,0.0191016350352569,-0.5718432176712334,0.92,HH,0
North Dayi,0.3454406135313471,-0.3442917329235798,0.373,HH,0
North Tongu,0.0204004189435631,-0.5709375942974536,0.887,HH,0
South Dayi,0.3111813452805722,-0.3681802288450848,0.407,HH,0
South Tongu,0.0405816556827018,-0.5568655076432695,0.778,HH,0
Ahanta West Municipal,0.5058496079692667,-0.2324408439508915,0.162,LL,0
Effia Kwesimintsim Municipal,0.0945740843986724,-0.5192173622207694,0.737,LL,0
Ellembelle,0.757840915723305,-0.0567309226684685,0.107,LL,0
Jomoro Municipal,0.4346193697083153,-0.2821086665012486,0.268,LL,0
Mpohor,0.5460643084143674,-0.2043997106571117,0.112,LL,0
Nzema East Municipal,1.0022741258593824,0.113708845649817,0.043,LL,1
Prestea/Huni Valley Municipal,0.8864063417430815,0.0329159031959607,0.056,LL,0
"Sekondi Takoradi Metropolitan Area (STMA)-Takoradi, Sekondi & Essikado-Ketan",0.0798973192018047,-0.5294512598913168,0.742,LL,0
Shama,0.3825690650720525,-0.3184025966843118,0.28,LL,0
Tarkwa-Nsuaem Municipal,0.463187364539074,-0.2621886138309841,0.18,LL,0
Wassa Amenfi Central,0.6315780942492393,-0.1447721754396137,0.074,LL,0
Wassa Amenfi East Municipal,0.46053163614233,-0.2640404151161095,0.142,LL,0
Wassa Amenfi West Municipal,0.308156679794296,-0.3702892846662403,0.265,LL,0
Wassa East,0.7702548348230155,-0.0480748750958056,0.053,LL,0
Aowin Municipal,0.0613703025505716,-0.5423698826263668,0.772,LL,0
Bia East,-0.1100159424898954,-0.6618750508536145,0.684,LH,0
Bia West,-0.0854266941049075,-0.6447293209606717,0.795,HL,0
Bibiani Anhwiaso Bekwai Municipal,-0.2002759866854457,-0.7248120838882153,0.355,HL,0
Bodi,0.0181315437618657,-0.5725196483894337,0.919,LL,0
Juaboso,0.0010626221332644,-0.5844215623977724,0.983,HH,0
Sefwi Akontombra,-0.0122631886618715,-0.5937134589584397,0.946,HL,0
Sefwi Wiawso Municipal,-0.0176022782028644,-0.5974363294468272,0.893,HL,0
Suaman,0.0402154663643355,-0.5571208461979129,0.843,LL,0
