district,region,Local_R2,latitude,longitude
Upper West Akim,Eastern,0.880053089884467,5.80678025,-0.540057196199224
West Akim Municipal,Eastern,0.918075996456104,5.9070609,-0.68318054757923
Yilo Krobo Municipal,Eastern,0.7390060893136154,6.1564095,-0.167401779755807
Ablekuma Central Municipal,Greater Accra,0.8389688708576009,5.5541808,-0.24078224491606
Ablekuma North Municipal,Greater Accra,0.8356359694647807,5.58719365,-0.263259064824942
Ablekuma West Municipal,Greater Accra,0.8473421248081677,5.5431939,-0.26615017413473
"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",Greater Accra,0.828405998874392,5.55381875,-0.205849787615075
Ada East,Greater Accra,0.8435232570411209,5.8761016,0.549568161630084
Ada West,Greater Accra,0.8647762940960666,5.9040093,0.420370257026968
Adentan Municipal,Greater Accra,0.7629965256845129,5.7042433,-0.1690967
Ashaiman Municipal,Greater Accra,0.6548514520741747,5.6993574,-0.0348533202566188
Ayawaso Central Municipal,Greater Accra,0.8218957676608724,5.59137939999999,-0.212668442666915
Ayawaso East Municipal,Greater Accra,0.8172869347720313,5.5828425,-0.194266228463183
Ayawaso North Municipal,Greater Accra,0.8169433075527336,5.5908829,-0.199044848506062
Ayawaso West Municipal,Greater Accra,0.7940787834677074,5.62669775,-0.179111178909241
Ga Central Municipal,Greater Accra,0.9264994905732439,5.3203951,-2.0334832
Ga East Municipal,Greater Accra,0.8315210317317799,5.669162,-0.333376
Ga North Municipal,Greater Accra,0.8315210317317799,5.669162,-0.333376
Ga South Municipal,Greater Accra,0.8315210317317799,5.669162,-0.333376
Ga West Municipal,Greater Accra,0.8315210317317799,5.669162,-0.333376
Korle Klottey Municipal,Greater Accra,0.8252076663756228,5.55901944999999,-0.19823054970895
Kpone Katamanso Municipal,Greater Accra,0.6312267828402023,5.77159775,-0.0733651054089466
Krowor Municipal,Greater Accra,0.7623177794039592,5.60941925,-0.0769277820845922
La Dade-Kotopon Municipal,Greater Accra,0.7958453781937381,5.58947605,-0.156988356399583
La Nkwantanang Madina Municipal,Greater Accra,0.7335196840721194,5.74468145,-0.172508699400876
Ledzokuku Municipal,Greater Accra,0.7733725682527348,5.6050983,-0.114493361214251
Ningo-Prampram,Greater Accra,0.74607802218219,5.81176965,0.146110955005239
Okaikoi North Municipal,Greater Accra,0.8237905109608928,5.6104365,-0.2395459
Shai-Osudoku,Greater Accra,0.8114989228544903,5.95875335,0.161872328401567
Tema Metropolitan Area (TMA)-Tema Central & Tema East,Greater Accra,0.6709533482855745,5.6698,-0.01657
