district,region,intercept,working_age_prop,female_pop_prop,women_edu_secondary,women_literacy,no_insurance_women,women_anemia,wife_beating_justified,decision_autonomy,ipv_12months,Local_R2,latitude,longitude
Abuakwa North Municipal,Eastern,54.87532727078623,6.608251391633939,-0.27531753163120065,30.26205344513424,1.6888758850259058,-6.0156194067067545,-10.022614651540868,7.542246824215399,-4.97737192760729,4.799545210247476,0.6682831059088408,6.2336986,-0.382588987736012
Abuakwa South Municipal,Eastern,52.89513879960768,6.576538400928687,-0.433189979966194,28.887478668235595,-0.6462959434095303,2.494935941923111,-12.878622417549007,8.652285905382207,-10.376816034525133,-2.297103717010449,0.7251747597364968,6.1727705,-0.470361048613095
Achiase,Eastern,47.68626694982578,6.328122514730641,0.3848767482836859,25.564242988359737,3.787703654680562,3.8700401037343606,-11.521775138193032,2.942172731197216,-11.75522255537146,-0.5658328835168414,0.9352459225106422,5.8354534,-0.9966928
Akwapim North Municipal,Eastern,53.21791947824999,3.4236286948322734,-0.10895225533606379,29.469848805091644,2.9508351516777127,-5.013787299778421,-10.487691371273815,5.551726990597103,-5.238636723287785,3.6405200124226798,0.6449127086136561,5.9014961,-0.14597334325382
Akwapim South Municipal,Eastern,59.77446283958291,10.01500706748902,0.5071487785956981,6.141339824284934,-3.8547948197519366,-14.838477658082361,1.1842277733279731,-4.014868031684594,-1.2673501779379497,3.3805206635327663,0.9751376279207145,8.25846,0.508747
Akyemansa,Eastern,39.55164614895465,7.211940001736604,1.490191699025539,24.324234181035074,15.300941310114332,6.603183698770312,-14.146565262063454,-11.359841233778731,-1.7030909501434124,-7.606643940225093,0.8855611962222492,6.0815994,-1.11546439579942
Asene Manso Akroso,Eastern,50.080362578395594,6.345104447389835,0.36785010411077845,27.110966349308136,1.7903606051855387,3.3741082606265955,-12.084239032061827,5.5991943947166085,-10.996089794212784,-1.3260230244336064,0.9257619617822385,5.85516295,-0.8089562448565
Asuogyaman,Eastern,40.6488719806539,7.675189857437655,0.8708860046833866,25.42888436868041,6.049287082775844,-26.59881131102459,-12.372460284391066,-4.394900439592949,7.410484393354312,0.8143045564543119,0.8309306604442195,6.36279085,0.0952598707485648
Atiwa East,Eastern,52.60381292577683,5.58595703425121,1.5624829093272847,29.101268324199808,4.101740545736357,-7.915539128280276,-9.476384365123067,4.3105396680475385,-4.0287603290823935,5.978303468870409,0.5758597841731181,6.3954833,-0.597296233359515
Atiwa West,Eastern,52.3575456137438,6.474861283484605,-0.21903928568501563,28.56260713141379,-0.058503083429496616,2.509641857913329,-12.884649054976311,7.811740827540149,-10.575177426321222,-2.263804501332193,0.7271954654319317,6.20778059999999,-0.635808682575408
Ayensuano,Eastern,52.59531171927456,5.5225409297852615,-0.13405443777687154,28.75085373223592,-0.42976245460893736,2.6613080374873945,-12.77856788681438,8.434651025136839,-10.205732332507829,-2.2653135411814884,0.8352053850708092,5.94469995,-0.449937193103216
Birim Central Municipal,Eastern,49.38850258495549,7.790207620113943,-0.2637717013806711,26.36922938189718,2.6645176261197747,3.7517451179065477,-11.591142965141426,4.554441580668536,-12.213781262642643,-0.29940851613310393,0.9194877680121513,5.97391735,-1.00480959493596
Birim North,Eastern,39.91277441731424,4.916603463895143,2.438363262554157,24.59814240141609,15.272994882832204,6.276654941659819,-14.529991753164126,-11.476475612805094,-1.68875037466744,-8.022924277446698,0.6941876453432123,6.3681437,-1.02271793293055
Birim South,Eastern,48.98757700327778,7.394038413978258,0.012672423132507049,26.18989024644065,2.9193842491011495,3.7736530462882554,-11.585013473197247,4.184829088241717,-12.070192116919873,-0.3888533465036019,0.9261930543277135,5.9375343,-1.0087951
Denkyembuor,Eastern,51.947848920437565,7.404093513536576,-0.94885051918925,28.05927470549398,0.6837415056879292,3.172934360438005,-12.310055635810286,7.162165902347663,-11.36091185681336,-1.2544621856941358,0.8741003923379159,6.05,-0.8
Fanteakwa North,Eastern,39.736168457377225,5.75002587505773,2.2752047962277366,24.600482688753488,8.083760473841824,-24.75499727142097,-12.152162146893328,-6.724206980987554,5.799681106889706,1.3099229813528002,0.6164430796405582,6.49761694999999,-0.362546050326661
Fanteakwa South,Eastern,54.288920597543886,6.402510528821995,1.0428412475167592,30.075904862857165,2.428982079544381,-6.966531724864232,-9.706573798306025,6.709650585449472,-3.997709237745325,5.368502814094326,0.6165244102420813,6.37117379999999,-0.311872167608319
Kwaebibirem Municipal,Eastern,50.45163282809193,6.587728989857958,0.26226600863652294,27.21949939290716,1.8797899097532653,3.2258110381906753,-12.231985698980637,5.422541391151982,-11.519070696422453,-1.2394284598748362,0.7563128802935204,6.23359759999999,-0.87590978580917
Kwahu Afram Plains North,Eastern,61.98553846361486,6.6695471679890375,2.8112885018300013,11.736385100511399,-5.347626113353556,-9.079849442052602,3.5199745509773286,-11.159619252080589,2.1261553533087216,-1.41221628534971,0.944352576228968,6.8753584,0.0047456123339843
Kwahu Afram Plains South,Eastern,61.338140180387185,4.012550252992927,4.491775713821822,8.63440227138345,-5.001519631246197,-11.195727872725142,2.677845244906783,-13.667648785471059,1.2587896942762642,-0.5497033579692445,0.8636916422783522,6.8854777,-0.460380290065423
Kwahu East,Eastern,27.207546257990266,4.301389694851707,4.901815854719537,17.477669029341577,5.568785967197845,-11.963408679490605,-19.96927526883852,-11.434713163112445,-5.769596434615786,-16.883672271000023,0.8224218005993839,6.73342465,-0.81009459846416
Kwahu South Municipal,Eastern,59.77446283958291,10.01500706748902,0.5071487785956981,6.141339824284934,-3.8547948197519366,-14.838477658082361,1.1842277733279731,-4.014868031684594,-1.2673501779379497,3.3805206635327663,0.9751376279207145,8.25846,0.508747
Kwahu West Municipal,Eastern,38.942813691783684,4.624559282833474,2.889435601687998,24.15779762695248,14.391524769308447,4.947101372378607,-14.950617087613413,-11.237158258937622,-1.5572850782096266,-8.883048601401622,0.5938313024876151,6.49118254999999,-0.728456087972531
Lower Manya Krobo Municipal,Eastern,40.5334272210151,6.643159420055014,-0.030033700770438543,25.261186516183315,6.207245501185694,-26.4438809515733,-12.667019686641908,-4.859881554779406,6.619629380042857,0.5061970813664605,0.8120866478592007,6.2127831,-0.0404975690174626
New Juaben North Municipal,Eastern,53.24048669369493,6.770169521449445,-0.2968746860216669,29.07333752544057,-1.0389017725564014,2.646709847058596,-12.739392594820623,9.310690842680213,-10.234546457237398,-2.1575860696741236,0.7555355823407758,6.1364245,-0.312846157003848
New Juaben South Municipal,Eastern,54.58263782631347,5.69888987875861,-0.02014173995902624,30.109654554492295,1.7105445084020952,-5.706432111778618,-10.068800638373176,7.4492102535768066,-5.052448504924319,4.563155975802316,0.7123635065105063,6.0721368,-0.260652306105858
Nsawam Adoagyiri Municipal,Eastern,51.83931635946146,3.582803310663812,0.0792611994349457,28.43212810788122,0.6337813858375281,3.086368503767677,-12.717950447263602,7.2019473740707145,-9.87612759961423,-2.3238812827135438,0.7962080564192087,5.81791215,-0.36426765
Okere,Eastern,53.92549248770184,4.599047485731323,0.10321166966949491,29.81061771672375,2.2152599909384048,-5.3588144036583465,-10.268324712333825,6.647922078938159,-5.098702356063516,4.080587413531326,0.6810939836502472,6.04034605,-0.127770489495342
