district_geojson,district_ms,match_method
ATEBUBU AMANTIN,Atebubu Amantin Municipal,manual
KWADASO MUNICIPAL,Kwadaso Municipal,title_case
KPANDAI,Kpandai,title_case
EJISU MUNICIPAL,Ejisu Municipal,title_case
NKWANTA NORTH,Nkwanta North (Kpassa),manual
BIAKOYE,Biakoye,title_case
WASSA AMENFI EAST,Wassa Amenfi East Municipal,manual
CENTRAL GONJA,Central Gonja,title_case
TEMA WEST MUNICIPAL,Tema West Municipal,title_case
ASHAIMAN MUNICIPAL,Ashaiman Municipal,title_case
PRU EAST,Pru East,title_case
KPONE KATAMANSO,Kpone Katamanso Municipal,manual
SAVELUGU,Savelugu Municipal,manual
TAMALE METROPOLITAN,Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,manual
SAGNERIGU,Sagnarigu Municipal,manual
KARAGA,Karaga,title_case
NORTH EAST GONJA,North East Gonja,title_case
SOUTH DAYI,South Dayi,title_case
TEMPANE,Tempane,title_case
BOLGA  EAST,Bolgatanga East,manual
YUNYOO-NASUAN,Yunyoo Nasuan,manual
NANTON,Nanton,title_case
ASSIN FOSU,Assin Central Municipal,manual
GOMOA CENTRAL,Gomoa Central,title_case
PRU WEST,Pru West,title_case
BEREKUM WEST,Berekum West,title_case
AHAFO ANO SOUTH WEST,Ahafo Ano South West,title_case
AMANSIE SOUTH,Amansie South,title_case
ATWIMA NWABIAGYA NORTH,Atwima Nwabiagya North,title_case
ADANSI AKROFUOM,Akrofuom,manual
ADANSI NORTH,Adansi North,title_case
OBUASI EAST,Obuasi East,title_case
AFIGYA KWABRE NORTH,Afigya Kwabre North,title_case
KUMASI METROPOLITAN,"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",manual
OFORIKROM MUNICIPAL,Oforikrom Municipal,title_case
ASOKWA  MUNICIPAL,Asokwa Municipal,manual
OLD TAFO MUNICIPAL,Old Tafo Municipal,title_case
SUAME MUNICIPAL,Suame Municipal,title_case
JUABEN MUNICIPAL,Juaben Municipal,title_case
ABLEKUMA CENTRAL MUNICIPAL,Ablekuma Central Municipal,title_case
