district,composite_maternal_index,spatial_lag_composite
Binduri,73.01454244223599,76.45621942073441
Bolgatanga East,86.35825742036705,76.80982333360893
Bolgatanga Municipal,88.15369291174271,79.63574648684519
Bongo,74.4609991087987,79.78413791150102
Builsa North Municipal,80.12209097087647,79.74590416682514
Builsa South,71.52477896407186,68.75381285016503
Garu,74.23719298240759,76.1505567856915
Kasena Nankana Municipal,83.13347131723653,82.70142869430894
Kasena Nankana West,76.1716734742495,80.73350854098189
Nabdam,70.03434321291584,77.5989846669622
Pusiga,76.6634468090901,75.96324902186727
Talensi,74.59025810097846,79.75182316345608
Tempane,72.33351680302638,77.0457315233832
Daffiama Bussie Issa,63.32839798243376,68.20505373100492
Jirapa Municipal,65.31080541650869,69.37624461470489
Lambussie Karni,66.60635903701143,69.18651172116563
Lawra Municipal,69.85929343340923,68.23912261047975
Nadowli Kaleo,68.65930456898515,67.73655152484163
Nandom,72.38002141941375,67.60894061397862
Sissala East Municipal,70.1730994902367,65.84003289434453
Sissala West,69.19592661533083,66.35466548154764
Wa East,59.31102801554168,70.42496974115994
Wa Municipal,79.00245487663847,62.01809573494269
Wa West,56.77365237281015,69.07524071114152
Adaklu,71.9872544522063,75.35898718974676
Afadzato South,74.15257945512957,79.66437286958683
Agortime-Ziope,73.56817358031907,73.71869554752641
Akatsi North,63.75187793895415,69.90958937281633
Akatsi South Municipal,71.6372112535914,68.34679751514734
Anloga,68.23236783514291,68.03443169536806
Central Tongu,68.73212537972277,69.49728340059099
Ho Municipal,84.24004213379249,73.6509037882019
Ho West,74.89560766515265,76.4799778009314
Hohoe Municipal,80.14347667065476,55.9982896859597
Keta Municipal,74.6650977751391,69.86524827999929
Ketu North Municipal,70.29039678430038,69.75820276033386
Ketu South Municipal,68.97862407365078,70.08614593799626
Kpando Municipal,78.30467158199195,78.62634983787123
North Dayi,75.96930109190811,78.20543355208044
North Tongu,67.33034486397422,73.27329849515516
South Dayi,76.12444103740773,75.69204261278905
South Tongu,70.61278995761207,70.38558850973466
Ahanta West Municipal,50.02372318327837,58.118695146009514
Effia Kwesimintsim Municipal,63.08499032345537,54.32871514552339
Ellembelle,51.65724194571632,50.5396631300857
Jomoro Municipal,51.20863705547727,53.20483830821312
Mpohor,48.27101523219158,59.95206217013974
Nzema East Municipal,44.48545398571409,51.91377913791656
Prestea/Huni Valley Municipal,48.76142528867143,48.6977923436975
"Sekondi Takoradi Metropolitan Area (STMA)-Takoradi, Sekondi & Essikado-Ketan",63.41563883791112,54.24605301690945
Shama,55.60448332871248,58.26612843856811
Tarkwa-Nsuaem Municipal,57.70313619047999,51.46629568115985
Wassa Amenfi Central,45.13409140957606,55.06279333208242
Wassa Amenfi East Municipal,46.32775543438011,54.731296521309964
Wassa Amenfi West Municipal,53.1607427199045,55.342573015051926
Wassa East,44.331563966404325,56.17686563308678
Aowin Municipal,63.51591458151756,56.62421490329122
Bia East,61.34572550361553,73.7421387399921
Bia West,79.31930535971637,69.2487437759669
Bibiani Anhwiaso Bekwai Municipal,77.8409779561738,67.80766987601922
Bodi,61.80949484895034,64.1343688636357
Juaboso,65.97528205450138,69.03507913851
Sefwi Akontombra,66.39253063473396,62.37376804894383
Sefwi Wiawso Municipal,69.04269869555017,68.00744376627433
Suaman,55.126964069757264,68.37415322447552
